objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,areadoc-link,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,cb_ajpr0001.jpg,,,"El agente forestal Pepe Pino de servicio una mañana del otoño de 1980 en el pinsapar de Yunquera (Málaga), Sierra de las Nieves.",Anónimo,1980-10-01,"El agente forestal del Instituto Nacional para la Conservación de la Naturaleza (ICONA) Pepe Pino, en un lugar próximo al Llano de la Casa, en el pinsapar (bosque de Abies pinsapo Boiss.) de Yunquera (Málaga), Sierra de las Nieves.",monte Pinar de Yunquera (Málaga);Yunquera (Málaga);Sierra de las Nieves;Pinsapar de Yunquera;Abies pinsapo Boiss.;agentes forestales;ICONA;1980,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Cuesta del cerro del Cuco, pinsapar de Yunquera (Málaga)",36.711729,-4.985323,"Archivo de José Pino Rivera",cb_ajpr0001,image/imagen fija,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll002,cb_ajpr0002.jpg,,,"El guarda forestal Pepe Pino de servicio una tarde del invierno de 1969 en el pinsapar de Yunquera (Málaga), Sierra de las Nieves.",Anónimo,1969-12-01,"El guarda forestal del Patrimonio Forestal del Estado (PFE) Pepe Pino de de regreso de su jornada de trabajo con su yegüa, en el pinsapar del monte Pinar de Yunquera, en los Lajares, a la salida de la Era de los Gamones, viniendo desde la Caína, en un día de niebla, a las 17 horas de la tarde, en otoño de 1969.",monte Pinar de Yunquera (Málaga);Yunquera (Málaga);Sierra de las Nieves;Pinsapar de Yunquera (Málaga);Abies pinsapo Boiss.;guardas forestales;Patrimonio Forestal del Estado;Servicio Hidrológico Forestal de Málaga;1969,https://areadoc.blogspot.com/2019/05/los-trabajos-forestales-en-el-pinsapar.html,"Los Lajares, pinsapar de Yunquera (Málaga)",36.705360,-4.967502,"Archivo de José Pino Rivera",cb_ajpr0002,image;imagen fija,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll003,cb_ajpr0003.jpg,,,"Felicitación del Alcalde de Alfarnate por la repoblación forestal de la Sierra de Enmedio.",Alcalde de Alfarnate,1966-02-22,"Escrito del Alcalde de Alfarnate (Málaga), de 22 de febrero de 1966, trasladando a José Pino Rivera la  felicitación del Ayuntamiento, que reunido en sesión plenaria celebrada el 21 de febrero de 1966 acordó por unanimidad hacer constar en acta su gratitud a la colaboración técnica y desinteresada que prestó con todo entusiasmo en la repoblación forestal. El monte del Ayuntamiento, de cerca de 400 hectáreas, fue consorciado con el Patrimonio Forestal del Estado y fruto de ese convenio se realizó la repoblación forestal con almendros y con diferentes especies de pino (pino carrasco, pino negral y pino silvestre). Se abrieron treinta y cinco mil hoyos en las noventa y una hectáreas que componían la parcela a repoblar. A su vez los ejemplares de almendros bravíos se podaron e injertaron en dos clases de almendros, almendro valenciano o desmayo y almendro marcona que polinizaban a los otros en su tiempo de floración. La planta para injertar procedía de la Finca de las Monjas del término municipal de Loja (Granada). Se realizaron dos mil injertos de hallozas.",Alfarnate (Málaga);Sierra de Enmedio;repoblaciones forestales;pino negral;pino carrasco;pino silvestre;guardas forestales;Patrimonio Forestal del Estado;Servicio Hidrológico Forestal de Málaga;1966,https://areadoc.blogspot.com/2019/05/la-repoblacion-de-almendros-y-pinos-de.html,"Alfarnate (Málaga)",36.980766,-4.251655,"Archivo de José Pino Rivera",cb_ajpr0003,image;oficio del ayuntamiento,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll004,cb_ajpr0004.jpg,,,"Página de 30/10/1969 del libro de registro de trabajos. Recogida de piña de pinsapo y porte con caballerías",José Pino Rivera,1969-10-30,"Relación e importe de los trabajos realizados bajo la dirección del guarda forestal del P.F.E. José Pino Rivera en el monte Pinar de Yunquera (Málaga), monte consorciado. En el mes de octubre de 1969 se realizaron trabajos de recogida de piña de pinsapo y acarreo. Durante la primera quincena trabajaron 12  obreros en la recogida de 18.630 piñas, con un peso de 1.242 kg. Durante la segunda quincena trabajaron 10 obreros en la recogida de 26.450 piñas, con un peso de 1.763 kg. El precio del jornal era 175 pesetas (lo que hoy serían 1'05 euros). El importe total de los trabajos de recogida, del acarreo con mulos y de los materiales ascendió a 11.766 pesetas. El 21 de octubre se accidentó un trabajador en la zona del Hoyo de Bellina.",Yunquera (Málaga);monte Pinar de Yunquera (Málaga);Sierra de las Nieves;recogida de piñas;Abies pinsapo Boiss.;guardas forestales;Patrimonio Forestal del Estado;Servicio Hidrológico Forestal de Málaga;1969,https://areadoc.blogspot.com/2019/05/los-trabajos-forestales-en-el-pinsapar_25.html,"Pinsapar de Yunquera (Málaga)",36.718744,-4.983049,"Archivo de José Pino Rivera",cb_ajpr0004,image;hoja de registro de trabajos,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll005,cb_ajpr0005.jpg,,,"Oficio nº 16, de 26/08/1969, dirigido al Ingeniero Jefe del Servicio Hidrológico Forestal en Málaga, solicitando que se incluyan en su expediente personal los diplomas y carnets que detalla.",José Pino Rivera,1969-08-26," José Pino escribe en sus memorias que estando en el servicio militar en el campo de aviación de El Rompedizo en Málaga, comenzó estudios de radiotécnico, montando receptores de radio de galena [el rectificador que reducía la alta frecuencia a baja frecuencia era un cristal de galena]. Una vez se licenció del servicio militar, residiendo en la casa forestal de Serranillo (Montes de Málaga), se inició en el circuito a reacción de tres válvulas. Posteriormente cambió su residencia a la casa forestal de las Contadoras (Montes de Málaga), estudió a distancia el curso de receptores de radio de la Academia Radio Maymó (Barcelona) y obtuvo el Diploma de Radiotécnico el 10 de noviembre de 1955. En muy precarias condiciones, sin corriente eléctrica, con un soldador de hojalatero, con un esquema de un receptor de reacción de tres válvulas de la Revista Española de Radioelectricidad y con piezas encargadas a Radio Bonvehi de Barcelona, realizó el montaje de un receptor de reacción de tres válvulas. El receptor de radio montado recibía emisoras de Madrid, Sevilla y otras ciudades. Captaba la señal de radio mejor que las radios de galena. Siendo así que por encargo, durante los meses siguientes, llegó a montar un centenar de receptores de radio en los Montes de Málaga. Durante los años siguientes, en su nuevo destino de guarda forestal del PFE en Alfarnate (Málaga), continuó sus estudios y obtuvo los diplomas de televisión (1965) y de transistores (1968).",Alfarnate (Málaga);radiotécnico;Montes de Málaga (Málaga);casa forestal de Serranillo;casa forestal de las Contadoras;guardas forestales;Patrimonio Forestal del Estado;Servicio Hidrológico Forestal de Málaga;1969,https://areadoc.blogspot.com/2019/03/receptores-de-radio-made-in-las.html,"Alfarnate (Málaga)",36.993661,-4.259403,"Archivo de José Pino Rivera",cb_ajpr0005,image/oficio,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll006,cb_ajpr0006.jpg,,,"Página de registro de correspondencia laboral recibida entre el 23/09/1965 y el 19/02/1966, Alfarnate (Málaga).",José Pino Rivera,1965-09-23,"La sierra de Enmedio de Alfarnate (Málaga) fue consorciada con el PFE el 25/11/1963. En el año 1964 se le encargó a José Pino Rivera la repoblación del monte reciéntemente consorciado; acabadas las plantaciones de pinar quedó a la custodia del monte, fijando su residencia en Alfarnate. En Alfarnate residió hasta octubre de 1969. Según el Catálogo de Montes Públicos de Andalucía de 2018 la superficie del monte Sierra de Enmedio es de 434,82 ha.",Alfarnate (Málaga);sierra de Enmedio;repoblaciones forestales;plantaciones;guardas forestales;siembras;uniformes;actas;subastas;aprovechamientos de pastos;reconocimiento final;1965,https://areadoc.blogspot.com/2019/05/la-repoblacion-de-almendros-y-pinos-de.html,"Alfarnate (Málaga)",36.993661,-4.259403,"Archivo de José Pino Rivera",IMG_8900,image/hoja de registro de correspondencia,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll007,cb_ajpr0007.jpg,,,"Oficio nº 21, de 03/06/1972, dirigido al Ingeniero Jefe del Servicio Hidrológico Forestal en Málaga, informando sobre las siembras de pinsapo realizadas en 1970 y 1971",José Pino Rivera,1972-06-03,"Los resultados de las primeras experiencias de siembra de pinsapo en el pinsapar de Yunquera fueron muy dispares. En su escrito de 3 de junio de 1972 José Pino Rivera, refiriéndose al estado de las siembras efectuadas el otoño de 1970 y la primavera de 1971, comenta que las siembras efectuadas bajo mata con una rascadura producida sobre el suelo con azadilla, se mantienen sobre el 15% en cabecera de Bellina y puerto de Bellina; en la umbría del Barranco de Enmedio, el 35%; en puerto de las Palomas y cuevas de las Palomas, en siembra bajo mata pero con una cavada profunda con la misma herramienta, se mantienen el 65% de las plantitas nacidas con vigorosidad, se observa que a mayor profundidad mejor sobreviven las plantitas, siendo sus principales enemigos, el terreno seco, el ratón de monte y el conejo.",Yunquera (Málaga);monte Pinar de Yunquera (Málaga);pinsapar de Yunquera;guardas forestales;Patrimonio Forestal del Estado;Servicio Hidrológico Forestal de Málaga;Abies pinsapo Boiss.;repoblaciones forestales;siembras;1970;1971,https://areadoc.blogspot.com/2019/08/los-trabajos-forestales-en-el-pinsapar_10.html,"Pinsapar de Yunquera (Málaga)",36.719331,-4.981138,"Archivo de José Pino Rivera",IMG_1969,image/oficio,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll008,cb_ajpr0008.jpg,,,"Parte del incendio forestal del 19/10/1975 del llano de los Jaguarzos, monte Pinar de Yunquera (Málaga).",José Pino Rivera,1975-10-20,"El 19 y 20 de octubre de 1975 se produjo un incendio forestal en el llano de los Jaguarzos que pudo suponer la destrucción de los pinsapares de las cañadas del Saucillo y de los Mármoles del monte Pinar de Yunquera (Málaga), pero que afortunadamente no lo fue gracias a la eficaz extinción del mismo. José Pino en el parte del incendio describe la extinción y comenta que la red de cortafuegos desempeñó un papel fundamental en la extinción y constituyó un apoyo de primer orden al personal, distribuyéndose en otras zonas de más necesidad. El incendio se inició por causas desconocidas a las 16:25 h del 19 de octubre de 1975, en la parte baja del llano de los Jaguarzos, y fue controlado a las 17:30 h del día siguiente. La zona está distante por sendas 5 km de Yunquera (en la fecha del incendio aún no se había construído la pista forestal de Yunquera al puerto del Saucillo y al Caucón). El primer ataque se inició una hora después de dado el aviso del incendio. En la extinción actuaron 72 trabajadores forestales, 5 guardias civiles y 7 guardas forestales. Se quemaron 25 ha arboladas de pino carrasco, especie más afectada, aunque tambien pino pinaster y algunos ejemplares de pinsapo. La superficie total recorrida por el fuego fue de 30 ha. Uno de los nuevos cortafuegos que realizó, abierto entre marzo y abril de 1970, el del puerto del llano de la Casa al puerto del Cornicalejo, de 20 m de anchura y 2.850 m de longitud, situado al norte de la solana del Caucón, el hoyo Millán y el llano de los Jaguarzos, tuvo una gran importancia en la extinción del incendio.",monte Pinar de Yunquera (Málaga);incendios forestales;agentes forestales;ICONA;pino carrasco;pino negral;Abies pinsapo Boiss.;1975,https://areadoc.blogspot.com/2022/05/el-incendio-forestal-del-llano-de-los.html,"Llano de los Jaguarzos, Yunquera (Málaga)",36.720781,-4.962218,"Archivo de José Pino Rivera",cb_ajpr0008,image/parte de incendio,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll009,cb_ajpr0009.jpg,,,"Acta, de 20 de noviembre de 1983, de entrega de los montes públicos del término municipal de Yunquera.",José Pino Rivera,1983-11-20,"El 20 de noviembre de 1983, reunidos en Yunquera (Málaga), en presencia de D. Gregorio Gil Fernández, jefe de comarca del ICONA, D. José Pino Rivera, jefe de zona saliente, procede a la entrega de los montes públicos El Pinar del Ayuntamiento de Yunquera (Málaga), nº 49 del catálogo, y Morenas de Briñuela del ICONA, nº 84 del catálogo, a D. José Luis Mérida Jiménez, jefe de zona entrante. Se informa al jefe de zona entrante de los topónimos, linderos de los montes y enclavados, de los trabajos que se están efectuándo y de los proyectos a realizar. Se entrega la casa forestal de Yunquera, almacén de herramientas y caballería y su equipo que se encuentra en los Quejigales. El jefe de zona entrante se hace cargo además del observatorio de meteorología de la casa forestal de Yunquera, compuesto de pluviómetro, termómetro de máximas y de mínimas y evaporímetro; del pluviómetro del puerto del Saucillo; y, del pluviógrafo del llano de la Casa.",Yunquera (Málaga);monte Pinar de Yunquera (Málaga);monte Morenas de Briñuela;actas;casas forestales;agentes forestales;ICONA;1983,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Casa forestal de Yunquera (Málaga)",36.737480,-4.918852,"Archivo de José Pino Rivera",cb_ajpr0009,image/acta de entrega,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll010,cb_ajpr0010.jpg,,,"Oficio nº 5743, de 15/09/1971, autorizando el descaste de conejos en  el monte del PFE Morenas de Briñuela en Yunquera (Málaga).",Jefe del Servicio de Pesca Continental Caza y Parques Nacionales,1971-09-15,"Oficio del Jefe del Servicio de Pesca continental, Caza y Parques Nacionales dirigido al Ingeniero Jefe del Servicio Hidrológico Forestal de Málaga, autorizando el descaste por medio de cepos y lazos durante un plazo que concluirá el 9 de octubre de 1971, quedando prohibida la venta de la caza capturada que deberá ser consumida en la propa finca o entregada en entidades benéficas. Si existen ejemplares con mixomatosis deberán ser destruídos incinerándolos.",Yunquera (Málaga);monte Morenas de Briñuela;descaste de conejos;guardas forestales;Servicio de Pesca Continental Caza y Parques Nacionales;Servicio Hidrológico Forestal de Málaga;1971,https://areadoc.blogspot.com/2019/06/los-trabajos-forestales-en-el-pinsapar_3.html,"monte Morenas de Briñuela, Yunquera (Málaga)",36.753118,-4.951918,"Archivo de José Pino Rivera",IMG_1683,image/oficio,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll011,cb_ajpr0011.jpg,,,"Oficio nº 15, de 09/08/1971, informando de plaga de conejos en la repoblación de pinar del monte Morenas de Briñuela.",José Pino Rivera,1971-08-09,"Oficio nº 15 de 09/08/1971 de José Pino Rivera dirigido al Ingeniero Jefe del Servico Hidrológico Forestal de Málaga informando de la plaga de conejos existente en dos rodales de la repoblación de pinar del monte Morenas de Briñuela, en la zona Norte y en la zona Noreste. Los conejos están causando daños en las plantas de pino carrasco.",Yunquera (Málaga);monte Morenas de Briñuela;descaste de conejos;guardas forestales;Patrimonio Forestal del Estado;Servicio Hidrológico Forestal de Málaga;1971,https://areadoc.blogspot.com/2019/06/los-trabajos-forestales-en-el-pinsapar_3.html,"monte Morenas de Briñuela, Yunquera (Málaga)",36.753118,-4.951918,"Archivo de José Pino Rivera",IMG_1678,image/oficio,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll012,cb_ajpr0012.jpg,,,"Página del libro de registro de correspondencia laboral recibida entre el 04/02/1966 y el 15/10/1966, Alfarnate (Málaga).",José Pino Rivera,1966-02-04,"La sierra de Enmedio de Alfarnate (Málaga) fue consorciada con el PFE el 25/11/1963. En el año 1964 se le encargó a José Pino Rivera la repoblación del monte reciéntemente consorciado; acabadas las plantaciones de pinar quedó a la custodia del monte, fijando su residencia en Alfarnate. En Alfarnate residió hasta octubre de 1969. Según el Catálogo de Montes Públicos de Andalucía de 2018 la superficie del monte Sierra de Enmedio es de 434,82 ha.",Alfarnate (Málaga);sierra de Enmedio;guardas forestales;1966,https://areadoc.blogspot.com/2019/05/la-repoblacion-de-almendros-y-pinos-de.html,"Alfarnate (Málaga)",36.993661,-4.259403,"Archivo de José Pino Rivera",IMG_8908,image/oficio,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll013,cb_ajpr0013.jpg,,,"Portada de El libro del guarda forestal, año 1945, 1ª edición.",Macrina Sáez Sobrevilla,1945,"El libro del guarda forestal. Contestaciones a los programas oficiales para ingreso en los cuerpos de Guardería Forestal y Piscícola del Estado y Cuerpo de Guardas Rurales de las Hermandades Sindicales. Autora: Macrina Sáez Sobrevilla; colaborador(es): Cuerpo de Guardería Forestal del Estado,  Cuerpo de Guardería de Pesca Continental del Estado, Cuerpo de Guardas Rurales; editado en Valencia por F. Domenech; año:  1945; edición: 1ª. Descripción: 247 páginas, 18 cm. Precio: 15 pesetas. Con el sello de la 7ª División Hidrológica Forestal",guardas forestales;enseñanza;oposiciones;Guardería Forestal del Estado;1945,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Valencia (Valencia)",39.472728,-0.369249,"Archivo de José Pino Rivera",cb_ajpr0013.jpg,image/portada libro,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll014,cb_ajpr0014.jpg,,,"Certificado de servicios prestados, de 23/09/1957, del Ingeniero Jefe de la 7ª División Hidrológica Forestal.",Rafael Ayala y Ortiz de Zárate,1957-09-23,"D. Rafael Ayala y Ortiz de Zárate, Ingeniero Jefe de la 7ª División Hidrológico Forestal, CERTIFICO que José Pino Rivera ha trabajado en las obras que por esta División se vienen efectuando en la Cuenca del Guadalmedina, habiéndolo hecho desde el año 1946 al 1959 como pinche, 1951 al 1953, como obrero y desde 1954 hasta la fecha como vigilante de incendios. Y para que conste y a petición del interesado, expido el presente en Málaga a veintitres de Septiembre de mil novecientos cincuenta y siete.",cuenca del Guadalmedina (Málaga);Montes de Málaga (Málaga);7ª División Hidrológico Forestal;certificados;1957,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Las Contadoras (Montes de Málaga)",36.824224,-4.385174,"Archivo de José Pino Rivera",cb_ajpr0014.jpg,image/certificado,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll015,cb_ajpr0015.jpg,,,"Certificado de participación en la convocatoria para ingreso en el Cuerpo de Guardería Forestal, de 25/03/1958, del Ingeniero Jefe del Distrito Forestal de Granada.",Antonio Cano Ramos,1958-03-25,"D. Antonio Cano Ramos, Ingeniero Jefe de Montes de primera clase y Jefe del Distrito Forestal de Granada, CERTIFICO que D. José Pino Rivera, de 26 años de edad, natural y vecino de Málaga, ha tomado parte en la convocatoria para ingreso en el Cuerpo de Guardería Forestal del Estado, que tuvo lugar en este Distrito el día diez de diciembre último, habiendo demostrado una excelente preparación al aprobar los tres primeros ejercicios celebrados, habiendo sido eliminado en el cuarto y último por la limitación del número de plazas a cubrir. Y para que conste extiendo y firmo el presente a petición del interesado, en Granada a veinticuatro de marzo de mil novecientos cincuenta y ocho.",Granada (Granada);Guardería Forestal del Estado;oposiciones;Distrito Forestal;certificados;1958,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Granada (Granada)",37.181830,-3.600885,"Archivo de José Pino Rivera",cb_ajpr0015.jpg,image/certificado,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll016,cb_ajpr0016.jpg,,,"Nombramiento de Guarda de Segunda del Patrimonio Forestal del Estado, con efectos de 1 de junio de 1958.",Miguel Navarro Garnica,1960-07-13,"Nombramiento de D. José Pino Rivera como Guarda de Segunda del Patrimonio Forestal del Estado con destino en la 7ª División Hidrológico Forestal, con un sueldo anual de 10.224 Pta y con efectos del 1 de junio de 1958. Expedido por D. Miguel Navarro Garnica, Subdirector del Patrimonio Forestal del Estado, el 13 de julio de 1960.",Madrid (Madrid);Patrimonio Forestal del Estado;Miguel Navarro Garnica;7ª División Hidrológico Forestal;montes de Málaga (Málaga);nombramientos;guardas forestales;1960,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Madrid (Madrid)",40.420368,-3.688776,"Archivo de José Pino Rivera",cb_ajpr0016.jpg,image/nombramiento,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll017,cb_ajpr0017.jpg,,,"Portada de la Tabla para la Cubicación de Maderas, de José Zorrilla González, 1966, 4ª edición, La Roda (Albacete).",Juan José Zorrilla González,1966,"La presentes tablas de doble entrada, dan la cubicación de palos hasta 19,90  metros de altura y 79 centímetros de diámetro. Están divididas en diez columnas horizontales incrementadas de 10 en 10 centímetros para distintas alturas, y una columna vertical que determina los distintos diámetros de 10 a 79 centímetros.",La Roda (Albacete);cubicación de maderas;tablas;1966,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"La Roda (Albacete)",39.200420,-2.156740,"Archivo de José Pino Rivera",cb_ajpr0017.jpg,image/portada de libro,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll018,cb_ajpr0018.jpg,,,"Portada del Resumen legislativo para uso del personal de Guardería, año 1971, 12 serie administrativa.",Servicio de Pesca Continental Caza y Parques Nacionales,1971,"Resumen legislativo para uso del personal de Guardería, año 1971, 12 serie administrativa. Ministerio de Agricultura. Dirección general de Montes, Caza y Pesca Fluvial. Servicio de Pesca Continental, Caza y Parques Nacionales. Infracciones a las Leyes de Pesca Fluvial y Caza. Imprenta E. Paredes. Pontevedra. Depósito Legal: PO 21-1971.",Servicio de Pesca Continental Caza y Parques Nacionales;normativa legal;caza;pesca fluvial;guardas forestales;1971,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Pontevedra (Pontevedra)",42.429437,-8.643681,"Archivo de José Pino Rivera",cb_ajpr0018.jpg,image/portada de libro,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
coll019,cb_ajpr0019.jpg,,,"Portada del Manual de la Guardería del SPCCPN. Normas sobre denuncias de caza. Año 1971.",Servicio de Pesca Continental Caza y Parques Nacionales,1971,"Manual de la Guardería del SPCCPN. Normas sobre denuncias de caza. Año 1971. Ministerio de Agricultura. Dirección General de Montes, Caza y Pesca Fluvial. Servicio de Pesca Continental, Caza y Parques Nacionales. Imprenta E. Paredes. Pontevedra.",Servicio de Pesca Continental Caza y Parques Nacionales;manuales;denuncias;caza;guardas forestales;1971,https://areadoc.blogspot.com/2021/11/pepe-pino-la-conservacion-de-la.html,"Pontevedra (Pontevedra)",42.429437,-8.643681,"Archivo de José Pino Rivera",cb_ajpr0019.jpg,image/portada de libro,image/jpg,esp,,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
